communitydistrict,total_pop_acs,pct_white_acs,pct_black_acs,pct_hispanic_acs,pct_asian_acs
101,69349,67.73565588544896,3.0988190168567677,7.661249621479762,17.82145380611112
102,87882,73.98557156186705,1.9457909469515942,6.827336655970506,13.856079743292142
103,153017,33.645281243260555,8.587934673925119,24.25090022677219,30.55804257043335
104,113777,56.205559998945304,5.651405820156974,18.578447313604684,16.508608945568962
105,47649,66.08952968582761,3.5236836030137044,8.955067262691767,17.85766752712544
106,145565,68.50685260880019,4.344450932573078,7.794456084910521,16.90653659877031
107,211565,65.29766265686668,6.259069316758443,15.92938340462742,9.93548082149694
108,214957,74.28601999469662,2.3948975841679965,9.870811371576641,10.694697078950673
109,113658,26.796178007707333,21.16612996885393,40.37463266993964,8.282742965739324
110,132657,14.483969937508009,54.89495465750017,23.917320608788078,3.617600277407148
111,125324,13.870447799304204,32.3657080846446,44.52539018863107,7.132712010468865
112,205998,20.189516403071874,7.004922377887164,68.02250507286479,3.0364372469635628
201,95712,2.4270728853226347,28.195001671681712,67.69475091942495,0.5547893681043129
202,54155,1.9019481119010249,24.802880620441325,71.61850244668082,0.5816637429600222
203,88290,1.1790689772341147,38.59553743345792,58.24555442292446,0.6297428927398346
204,148309,2.3538692864222672,28.305092745551516,66.18276706066388,1.4334935843408019
205,135090,1.2665630320527057,25.93752313272633,70.17395810200607,1.2946924272707083
206,86021,6.424012741074854,25.456574557375525,65.65373571569732,1.2299322258518268
207,142108,5.583077659245081,15.117375517212261,71.92205927885833,5.085568722380161
208,105724,33.210056373198135,11.469486587718967,48.54999810828194,4.061518671257236
209,175265,2.850540609933529,29.40518643197444,57.723447351153965,7.395087439020911
210,124845,25.243301694100683,23.810324802755417,43.35856462012896,5.466778805719092
211,118550,22.409953606073387,21.80345845634753,45.656684943062,7.771404470687473
212,164689,5.954860373188252,62.910698346580524,25.571835398842666,2.7378877763542193
301,190415,61.65270593178059,5.179213822440459,24.468135388493554,6.1029855841188985
302,118787,49.1611034877554,22.56391692693645,12.727823751757347,10.409388232719069
303,168400,22.954869358669832,52.451306413301666,18.1229216152019,3.7749406175771973
304,112963,18.861042996379346,17.796092525871302,55.73683418464453,5.199932721333534
305,189566,3.8102824346138022,54.857411139128324,35.07591023706783,4.081955624953842
306,119770,62.09067379143358,10.700509309509894,14.970359856391417,7.051849377974451
307,122077,26.742138158703114,2.776116713221983,41.4926644658699,26.5537324803198
308,104485,27.221132219935875,51.74522658754845,12.88031774895918,4.077140259367373
309,97766,26.96643004725569,58.67888632039769,9.267025346234888,2.0999120348587446
310,123956,53.22533802316951,2.326632030720578,17.022169156797574,25.048404272483786
311,189058,38.93461265854923,1.1382750267113795,16.270668260533803,40.95991706248876
312,184494,64.72893427428534,2.3653885763222653,12.191182369074333,18.17836894424751
313,106933,57.7034217687711,11.400596635276294,14.755033525665604,12.819241955243003
314,157642,39.561791908247805,32.23506425952475,15.448294236307582,9.900280382131665
315,157647,64.04688956973492,3.964553718117059,10.276757565954316,18.453253154198936
316,84776,3.452628102293102,70.88916674530527,23.006511276776447,1.3152307256770783
317,155608,3.3565112333556115,85.61513546861345,7.721968022209655,1.3225541103285179
318,205623,22.306356779154083,62.04072501617037,8.872061977502517,5.038346877538019
401,176515,47.401637254624255,8.270685210888592,25.99099226694615,15.432682774835
402,115789,30.99430861308069,1.7851436664968174,31.543583587387403,32.87531630811217
403,158724,11.109851062221214,5.30354577757617,64.22343186915653,17.807640936468335
404,166515,5.695582980512266,4.713088910908927,53.706873254661744,34.13926673272678
405,186568,51.150250846876204,1.4295055958149308,37.40298443462973,8.36156254019982
406,115881,47.39430967975768,3.024654602566426,15.287234317964119,30.137813791734626
407,242629,24.311191160166345,1.9053781699631949,17.79630629479576,53.836103680928495
408,157410,30.04891684136967,11.81119369798615,19.449844355504734,34.086144463502954
409,148027,17.53058563640417,5.901626054706236,43.12929398015227,25.560877407499984
410,132943,21.83266512715976,14.095514619047261,25.558321987618754,25.228105278201937
411,118237,38.526857075196425,2.66836946133613,11.735751076228253,45.053578828962166
412,243749,2.082059823835175,60.43470947573118,16.262220562956156,13.509388756466693
413,202828,10.652868440254798,54.31843729662571,13.129844005758574,16.057447689668095
414,128426,33.4597355675642,36.52687150576986,24.040303365362153,3.5413389812031832
501,171983,37.45312036654786,22.00682625608345,29.030776297657326,9.114272922323718
502,137672,65.06624440699633,3.700825149631007,14.453919460747283,14.599918647219479
503,164622,82.24356404368797,0.8972069346745879,10.700878375915734,4.849291103254729
