episode,start,end,n_high_days,peak_date,peak_cai_d,candidate_events,drivers,top_driver_share,period
52,2022-05-24,2022-06-03,5,2022-05-26,3.81,Patrick Lyoya,George Floyd (37%); Freddie Gray (18%); Breonna Taylor (5%),0.3728,extension
53,2022-06-09,2022-06-10,1,2022-06-10,2.0,,Patrick Lyoya (24%); George Floyd (19%); Freddie Gray (15%),0.2446,extension
54,2022-07-01,2022-07-08,7,2022-07-04,3.82,Jayland Walker,Jayland Walker (32%); George Floyd (19%); Freddie Gray (7%),0.3228,extension
55,2022-08-08,2022-08-09,1,2022-08-08,1.68,Jayland Walker,George Floyd (24%); Breonna Taylor (19%); Michael Brown (10%),0.2445,extension
56,2022-10-12,2022-10-15,2,2022-10-13,3.19,Donovan Lewis,George Floyd (35%); Breonna Taylor (12%); Michael Brown (6%),0.3477,extension
57,2022-12-15,2022-12-16,1,2022-12-15,1.61,,Atatiana Jefferson (29%); Jacob Blake (25%); George Floyd (12%),0.2893,extension
58,2023-01-21,2023-02-04,10,2023-01-28,8.42,Tyre Nichols; Keenan Anderson,Tyre Nichols (75%); George Floyd (6%); Daniel Shaver (2%),0.7513,extension
59,2023-03-08,2023-03-10,1,2023-03-09,1.38,Tyre Nichols,George Floyd (24%); Breonna Taylor (21%); Tyre Nichols (10%),0.2361,extension
60,2023-03-27,2023-03-31,3,2023-03-29,2.71,,George Floyd (31%); Tyre Nichols (9%); Michael Brown (7%),0.3052,extension
61,2023-04-16,2023-04-21,3,2023-04-17,1.82,,Jayland Walker (23%); George Floyd (23%); Tyre Nichols (6%),0.2315,extension
62,2023-05-07,2023-05-12,3,2023-05-08,1.43,,George Floyd (33%); Michael Brown (7%); Breonna Taylor (6%),0.331,extension
63,2023-05-25,2023-05-26,1,2023-05-25,1.34,,George Floyd (49%); Charles Kinsey (11%); Daniel Shaver (6%),0.491,extension
64,2023-09-13,2023-09-14,1,2023-09-14,1.19,Keenan Anderson; Eddie Irizarry,George Floyd (26%); Tyre Nichols (22%); Michael Brown (5%),0.2573,extension
65,2023-10-13,2023-10-13,1,2023-10-13,1.51,Eddie Irizarry,Elijah Mcclain (58%); George Floyd (15%); Michael Brown (2%),0.5801,extension
66,2023-11-25,2023-11-25,1,2023-11-25,1.15,,George Floyd (85%),0.8459,extension
67,2024-02-14,2024-02-22,8,2024-02-18,2.86,,George Floyd (39%); Michael Brown (7%); Breonna Taylor (5%),0.3886,extension
68,2024-03-15,2024-03-16,1,2024-03-16,0.53,,George Floyd (23%); Breonna Taylor (22%); Laquan Mcdonald (21%),0.2276,extension
69,2024-04-15,2024-04-18,2,2024-04-15,1.19,,George Floyd (36%); Michael Brown (7%); Breonna Taylor (6%),0.3584,extension
70,2024-04-25,2024-05-03,5,2024-04-30,2.19,,George Floyd (33%); Elijah Mcclain (14%); Michael Brown (6%),0.3306,extension
71,2024-05-31,2024-06-01,1,2024-05-31,0.94,,George Floyd (49%); Michael Brown (6%); Breonna Taylor (5%),0.4857,extension
72,2024-07-22,2024-07-30,5,2024-07-24,3.09,Michael Brown; Nyah Mway,George Floyd (26%); Breonna Taylor (9%); Sandra Bland (7%),0.2584,extension
73,2024-08-09,2024-08-10,1,2024-08-09,0.57,Nyah Mway,Michael Brown (57%); George Floyd (19%); Breonna Taylor (3%),0.57,extension
74,2024-08-30,2024-09-01,2,2024-08-30,1.85,,George Floyd (31%); Breonna Taylor (10%); Michael Brown (7%),0.3112,extension
75,2024-11-04,2024-11-05,1,2024-11-05,0.6,Kevin Mullins,George Floyd (34%); Andre Hill (16%); Breonna Taylor (12%),0.3442,extension
