episode,start,end,n_high_days,peak_date,peak_cai_d,candidate_events,period
1,2015-07-23,2015-08-04,9,2015-07-30,5.48,Samuel Dubose; Jonathan Sanders,extension
2,2015-08-31,2015-09-04,2,2015-09-02,4.41,Samuel Dubose; Zachary Hammond,extension
3,2015-11-24,2015-11-26,2,2015-11-25,6.18,Jamar Clark; Corey Jones,extension
4,2015-12-28,2015-12-31,2,2015-12-29,3.82,Jamar Clark,extension
5,2016-02-11,2016-02-13,2,2016-02-12,3.78,Michael Brown; Eric Harris,extension
6,2016-05-23,2016-05-24,1,2016-05-23,2.97,,extension
7,2016-07-06,2016-07-20,15,2016-07-08,12.69,Alton Sterling; Philando Castile,extension
8,2016-09-19,2016-10-03,11,2016-09-22,7.12,Keith Lamont Scott; Terence Crutcher,extension
9,2016-11-02,2016-11-04,1,2016-11-02,3.57,Keith Lamont Scott; Terence Crutcher,extension
10,2016-11-30,2016-12-01,1,2016-11-30,2.56,Deborah Danner; Abdul Razak Ali Artan,extension
11,2017-05-01,2017-05-05,3,2017-05-03,3.11,,discovery
12,2017-05-18,2017-05-18,1,2017-05-18,1.43,,discovery
13,2017-06-16,2017-06-30,11,2017-06-21,4.55,Michael Brown,discovery
14,2017-07-17,2017-07-20,3,2017-07-18,2.5,Michael Brown,discovery
15,2017-08-19,2017-08-20,1,2017-08-19,1.74,,discovery
16,2017-09-23,2017-10-06,8,2017-09-26,3.35,Patrick Harmon,discovery
17,2017-10-16,2017-10-19,1,2017-10-17,1.77,,discovery
18,2017-12-07,2017-12-15,7,2017-12-09,5.68,,discovery
19,2017-12-30,2018-01-01,2,2017-12-31,2.73,,discovery
20,2018-02-10,2018-02-24,10,2018-02-17,3.01,,discovery
21,2018-03-24,2018-04-05,6,2018-03-31,2.87,,discovery
22,2018-04-24,2018-04-26,1,2018-04-25,1.89,,discovery
23,2018-05-21,2018-05-24,2,2018-05-22,2.1,,discovery
24,2018-07-15,2018-07-18,3,2018-07-15,2.12,,discovery
25,2018-09-04,2018-09-18,10,2018-09-08,3.32,,discovery
26,2018-10-03,2018-10-08,3,2018-10-05,4.47,,discovery
27,2019-01-29,2019-01-30,2,2019-01-29,3.64,,discovery
28,2019-02-13,2019-02-16,1,2019-02-14,1.51,Willie McCoy,discovery
29,2019-03-23,2019-03-30,3,2019-03-23,2.47,Willie McCoy,discovery
30,2019-04-19,2019-04-19,1,2019-04-19,1.4,,discovery
31,2019-05-07,2019-05-10,3,2019-05-07,2.86,,discovery
32,2019-06-15,2019-06-20,2,2019-06-17,1.48,,discovery
33,2019-07-16,2019-07-18,2,2019-07-17,1.51,,discovery
34,2019-08-01,2019-08-07,4,2019-08-04,2.96,,discovery
35,2019-10-13,2019-10-17,4,2019-10-14,3.21,Atatiana Jefferson,discovery
36,2020-05-26,2020-06-09,14,2020-05-31,12.67,George Floyd; David McAtee,discovery
37,2020-08-24,2020-09-07,6,2020-08-27,9.19,,discovery
38,2020-09-22,2020-09-27,2,2020-09-24,8.57,Dijon Kizzee,discovery
39,2021-01-05,2021-01-14,5,2021-01-07,4.58,Dolal Idd,extension
40,2021-03-12,2021-03-18,2,2021-03-14,3.26,,extension
41,2021-03-29,2021-04-12,5,2021-04-02,4.44,Daunte Wright,extension
42,2021-04-14,2021-04-28,15,2021-04-21,10.72,Daunte Wright; Ma'Khia Bryant,extension
43,2021-05-24,2021-05-27,1,2021-05-25,3.24,Daunte Wright; Ma'Khia Bryant,extension
44,2021-06-25,2021-06-26,1,2021-06-26,3.53,,extension
45,2021-11-16,2021-11-25,4,2021-11-20,3.78,,extension
46,2022-01-07,2022-01-11,2,2022-01-07,3.06,,extension
47,2022-01-27,2022-02-10,6,2022-01-28,2.28,Amir Locke,extension
48,2022-02-18,2022-02-23,4,2022-02-18,2.44,Amir Locke,extension
49,2022-04-13,2022-04-15,3,2022-04-14,3.15,Patrick Lyoya,extension
50,2022-05-24,2022-06-03,5,2022-05-26,3.89,Patrick Lyoya,extension
51,2022-06-09,2022-06-10,1,2022-06-10,2.08,,extension
52,2022-07-01,2022-07-08,7,2022-07-04,3.91,Jayland Walker,extension
53,2022-08-08,2022-08-09,1,2022-08-08,1.8,Jayland Walker,extension
54,2022-10-12,2022-10-15,2,2022-10-13,3.23,Donovan Lewis,extension
55,2022-12-15,2022-12-16,1,2022-12-15,1.7,,extension
56,2023-01-21,2023-02-04,9,2023-01-28,6.13,Keenan Anderson; Tyre Nichols,extension
57,2023-03-08,2023-03-10,1,2023-03-09,1.31,Tyre Nichols,extension
58,2023-03-27,2023-03-31,3,2023-03-29,2.64,,extension
59,2023-04-16,2023-04-21,3,2023-04-17,1.86,,extension
60,2023-05-07,2023-05-12,3,2023-05-08,1.47,,extension
61,2023-05-25,2023-05-26,1,2023-05-25,1.4,,extension
62,2023-08-05,2023-08-05,1,2023-08-05,1.09,Keenan Anderson; Ricky Cobb II,extension
63,2023-09-14,2023-09-14,1,2023-09-14,1.09,Keenan Anderson; Ricky Cobb II,extension
64,2023-10-13,2023-10-13,1,2023-10-13,1.57,,extension
65,2023-11-25,2023-11-25,1,2023-11-25,1.25,,extension
66,2023-12-23,2023-12-23,1,2023-12-23,1.13,,extension
67,2024-02-14,2024-02-22,8,2024-02-18,2.88,,extension
68,2024-03-15,2024-03-16,1,2024-03-16,0.57,,extension
69,2024-04-15,2024-04-18,2,2024-04-15,1.2,,extension
70,2024-04-25,2024-05-03,5,2024-04-30,2.22,,extension
71,2024-05-31,2024-06-01,1,2024-05-31,0.98,,extension
72,2024-07-22,2024-07-30,5,2024-07-24,3.18,Michael Brown; Nyah Mway,extension
73,2024-08-09,2024-08-10,1,2024-08-09,0.65,Nyah Mway,extension
74,2024-08-30,2024-09-01,2,2024-08-30,1.86,,extension
75,2024-11-02,2024-11-05,1,2024-11-05,0.64,Kevin Mullins,extension
