name,article,date,views
George Floyd,Killing_of_George_Floyd,2020-09-13,11577
George Floyd,Killing_of_George_Floyd,2020-09-14,12948
George Floyd,Killing_of_George_Floyd,2020-09-15,12591
George Floyd,Killing_of_George_Floyd,2020-09-16,10970
George Floyd,Killing_of_George_Floyd,2020-09-17,8967
George Floyd,Killing_of_George_Floyd,2020-09-18,7244
George Floyd,Killing_of_George_Floyd,2020-09-19,12365
George Floyd,Killing_of_George_Floyd,2020-09-20,9386
George Floyd,Killing_of_George_Floyd,2020-09-21,9216
George Floyd,Killing_of_George_Floyd,2020-09-22,9314
George Floyd,Killing_of_George_Floyd,2020-09-23,10197
George Floyd,Killing_of_George_Floyd,2020-09-24,13875
George Floyd,Killing_of_George_Floyd,2020-09-25,9663
George Floyd,Killing_of_George_Floyd,2020-09-26,6347
George Floyd,Killing_of_George_Floyd,2020-09-27,5883
George Floyd,Killing_of_George_Floyd,2020-09-28,6252
George Floyd,Killing_of_George_Floyd,2020-09-29,6046
George Floyd,Killing_of_George_Floyd,2020-09-30,6339
George Floyd,Killing_of_George_Floyd,2020-10-01,5477
George Floyd,Killing_of_George_Floyd,2020-10-02,4985
George Floyd,Killing_of_George_Floyd,2020-10-03,3842
George Floyd,Killing_of_George_Floyd,2020-10-04,3942
George Floyd,Killing_of_George_Floyd,2020-10-05,4594
George Floyd,Killing_of_George_Floyd,2020-10-06,5087
George Floyd,Killing_of_George_Floyd,2020-10-07,7481
George Floyd,Killing_of_George_Floyd,2020-10-08,10618
George Floyd,Killing_of_George_Floyd,2020-10-09,5231
George Floyd,Killing_of_George_Floyd,2020-10-10,4103
George Floyd,Killing_of_George_Floyd,2020-10-11,4277
George Floyd,Killing_of_George_Floyd,2020-10-12,4879
George Floyd,Killing_of_George_Floyd,2020-10-13,4922
George Floyd,Killing_of_George_Floyd,2020-10-14,5632
George Floyd,Killing_of_George_Floyd,2020-10-15,5321
George Floyd,Killing_of_George_Floyd,2020-10-16,4694
George Floyd,Killing_of_George_Floyd,2020-10-17,3888
George Floyd,Killing_of_George_Floyd,2020-10-18,4287
George Floyd,Killing_of_George_Floyd,2020-10-19,5190
