date,component,value
2015-11-25,wiki_nyc,63.0
2015-11-26,wiki_nyc,28.0
2015-11-27,wiki_nyc,38.0
2015-11-28,wiki_nyc,36.0
2015-11-29,wiki_nyc,39.0
2015-11-30,wiki_nyc,52.0
2015-12-01,wiki_nyc,528.0
2015-12-02,wiki_nyc,308.0
2015-12-03,wiki_nyc,171.0
2015-12-04,wiki_nyc,81.0
2015-12-05,wiki_nyc,152.0
2015-12-06,wiki_nyc,193.0
2015-12-07,wiki_nyc,103.0
2015-12-08,wiki_nyc,98.0
2015-12-09,wiki_nyc,79.0
2015-12-10,wiki_nyc,51.0
2015-12-11,wiki_nyc,149.0
2015-12-12,wiki_nyc,83.0
2015-12-13,wiki_nyc,70.0
2015-12-14,wiki_nyc,102.0
2015-12-15,wiki_nyc,74.0
2015-12-16,wiki_nyc,25.0
2015-12-17,wiki_nyc,46.0
2015-12-18,wiki_nyc,78.0
2015-12-19,wiki_nyc,49.0
2015-12-20,wiki_nyc,72.0
2015-12-21,wiki_nyc,82.0
2015-12-22,wiki_nyc,76.0
2015-12-23,wiki_nyc,37.0
2015-12-24,wiki_nyc,52.0
2015-12-25,wiki_nyc,122.0
2015-12-26,wiki_nyc,64.0
2015-12-27,wiki_nyc,52.0
2015-12-28,wiki_nyc,59.0
2015-12-29,wiki_nyc,51.0
2015-12-30,wiki_nyc,39.0
2015-12-31,wiki_nyc,39.0
2016-01-01,wiki_nyc,62.0
2016-01-02,wiki_nyc,54.0
2016-01-03,wiki_nyc,81.0
2016-01-04,wiki_nyc,83.0
2016-01-05,wiki_nyc,44.0
2016-01-06,wiki_nyc,40.0
2016-01-07,wiki_nyc,40.0
2016-01-08,wiki_nyc,43.0
2016-01-09,wiki_nyc,63.0
2016-01-10,wiki_nyc,53.0
2016-01-11,wiki_nyc,85.0
2016-01-12,wiki_nyc,54.0
2016-01-13,wiki_nyc,36.0
2016-01-14,wiki_nyc,36.0
2016-01-15,wiki_nyc,84.0
2016-01-16,wiki_nyc,34.0
2016-01-17,wiki_nyc,41.0
2016-01-18,wiki_nyc,37.0
2016-01-19,wiki_nyc,47.0
2016-01-20,wiki_nyc,50.0
2016-01-21,wiki_nyc,45.0
2016-01-22,wiki_nyc,52.0
2016-01-23,wiki_nyc,48.0
2016-01-24,wiki_nyc,95.0
2016-01-25,wiki_nyc,34.0
2016-01-26,wiki_nyc,42.0
2016-01-27,wiki_nyc,47.0
2016-01-28,wiki_nyc,39.0
2016-01-29,wiki_nyc,29.0
2016-01-30,wiki_nyc,38.0
2016-01-31,wiki_nyc,25.0
2016-02-01,wiki_nyc,77.0
2016-02-02,wiki_nyc,38.0
2016-02-03,wiki_nyc,47.0
2016-02-04,wiki_nyc,48.0
2016-02-05,wiki_nyc,79.0
2016-02-06,wiki_nyc,64.0
2016-02-07,wiki_nyc,47.0
2016-02-08,wiki_nyc,40.0
2016-02-09,wiki_nyc,55.0
2016-02-10,wiki_nyc,51.0
2016-02-11,wiki_nyc,53.0
2016-02-12,wiki_nyc,70.0
2016-02-13,wiki_nyc,28.0
2016-02-14,wiki_nyc,45.0
2016-02-15,wiki_nyc,71.0
2016-02-16,wiki_nyc,46.0
2016-02-17,wiki_nyc,71.0
2016-02-18,wiki_nyc,64.0
2016-02-19,wiki_nyc,63.0
2016-02-20,wiki_nyc,36.0
2016-02-21,wiki_nyc,38.0
2016-02-22,wiki_nyc,48.0
2016-02-23,wiki_nyc,95.0
2016-02-24,wiki_nyc,72.0
2016-02-25,wiki_nyc,74.0
2016-02-26,wiki_nyc,40.0
2016-02-27,wiki_nyc,53.0
2016-02-28,wiki_nyc,57.0
2016-02-29,wiki_nyc,60.0
2016-03-01,wiki_nyc,47.0
2016-03-02,wiki_nyc,40.0
2016-03-03,wiki_nyc,82.0
2016-03-04,wiki_nyc,77.0
2016-03-05,wiki_nyc,32.0
2016-03-06,wiki_nyc,30.0
2016-03-07,wiki_nyc,51.0
2016-03-08,wiki_nyc,47.0
2016-03-09,wiki_nyc,37.0
2016-03-10,wiki_nyc,54.0
2016-03-11,wiki_nyc,47.0
2016-03-12,wiki_nyc,32.0
2016-03-13,wiki_nyc,54.0
2016-03-14,wiki_nyc,59.0
2016-03-15,wiki_nyc,34.0
2016-03-16,wiki_nyc,31.0
2016-03-17,wiki_nyc,46.0
2016-03-18,wiki_nyc,42.0
2016-03-19,wiki_nyc,40.0
2016-03-20,wiki_nyc,38.0
2016-03-21,wiki_nyc,42.0
2016-03-22,wiki_nyc,47.0
2016-03-23,wiki_nyc,41.0
2016-03-24,wiki_nyc,49.0
2016-03-25,wiki_nyc,58.0
2016-03-26,wiki_nyc,53.0
2016-03-27,wiki_nyc,41.0
2016-03-28,wiki_nyc,74.0
2016-03-29,wiki_nyc,67.0
2016-03-30,wiki_nyc,54.0
2016-03-31,wiki_nyc,71.0
2016-04-01,wiki_nyc,44.0
2016-04-02,wiki_nyc,40.0
2016-04-03,wiki_nyc,40.0
2016-04-04,wiki_nyc,41.0
2016-04-05,wiki_nyc,44.0
2016-04-06,wiki_nyc,48.0
2016-04-07,wiki_nyc,61.0
2016-04-08,wiki_nyc,37.0
2016-04-09,wiki_nyc,20.0
2016-04-10,wiki_nyc,44.0
2016-04-11,wiki_nyc,40.0
2016-04-12,wiki_nyc,37.0
2016-04-13,wiki_nyc,36.0
2016-04-14,wiki_nyc,33.0
2016-04-15,wiki_nyc,46.0
2016-04-16,wiki_nyc,42.0
2016-04-17,wiki_nyc,49.0
2016-04-18,wiki_nyc,46.0
2016-04-19,wiki_nyc,57.0
2016-04-20,wiki_nyc,43.0
2016-04-21,wiki_nyc,30.0
2016-04-22,wiki_nyc,26.0
2016-04-23,wiki_nyc,29.0
2016-04-24,wiki_nyc,38.0
2016-04-25,wiki_nyc,52.0
2016-04-26,wiki_nyc,43.0
2016-04-27,wiki_nyc,34.0
2016-04-28,wiki_nyc,44.0
2016-04-29,wiki_nyc,57.0
2016-04-30,wiki_nyc,20.0
2016-05-01,wiki_nyc,36.0
2016-05-02,wiki_nyc,47.0
2016-05-03,wiki_nyc,32.0
2016-05-04,wiki_nyc,32.0
2016-05-05,wiki_nyc,41.0
2016-05-06,wiki_nyc,43.0
2016-05-07,wiki_nyc,31.0
2016-05-08,wiki_nyc,37.0
2016-05-09,wiki_nyc,35.0
2016-05-10,wiki_nyc,51.0
2016-05-11,wiki_nyc,44.0
2016-05-12,wiki_nyc,41.0
2016-05-13,wiki_nyc,58.0
2016-05-14,wiki_nyc,39.0
2016-05-15,wiki_nyc,45.0
2016-05-16,wiki_nyc,50.0
2016-05-17,wiki_nyc,31.0
2016-05-18,wiki_nyc,56.0
2016-05-19,wiki_nyc,63.0
2016-05-20,wiki_nyc,73.0
