article,n_titles,canonical_views,all_titles_views,gain,titles
Killing_of_Elijah_McClain,4,385660,3012918,7.81,Killing_of_Elijah_McClain | Elijah_McClain | Elijah_Jovan_McClain | Death_of_Elijah_McClain
Killing_of_Emantic_Fitzgerald_Bradford_Jr.,6,35155,136973,3.9,Killing_of_Emantic_Fitzgerald_Bradford_Jr. | EJ_Bradford | E._J._Bradford | Emantic_Bradford | Emantic_Fitzgerald_Bradford_Jr. | Shooting_of_Emantic_Fitzgerald_Bradford_Jr.
Killing_of_Eric_Garner,3,1383319,6227155,4.5,Killing_of_Eric_Garner | Eric_Garner | Death_of_Eric_Garner
Killing_of_Eric_Harris,7,18355,201431,10.97,Killing_of_Eric_Harris | Eric_Courtney_Harris | Shooting_of_Eric_Courtney_Harris | 2015_shooting_of_Eric_Harris | 2015_Shooting_of_Eric_Harris | Eric_Harris_(shooting_victim) | Shooting_of_Eric_Harris
Killing_of_Ezell_Ford,6,7159,215724,30.13,Killing_of_Ezell_Ford | Ezell_Ford | Death_of_Ezell_Ford | Ezell_Ford_shooting | Ezell_Earl_Ford | Shooting_of_Ezell_Ford
Killing_of_Freddie_Gray,11,904987,4267797,4.72,Killing_of_Freddie_Gray | Freddie_Gray | Draft:Death_of_Freddie_Gray | Death_of_Freddie_Grey | Death_of_Freddy_Gray | Freddie_Grey | Carolina_Gray | Fredericka_Gray | Freddie_Carlos_Grey | Freddie_Carlos_Gray_Jr. | Death_of_Freddie_Gray
Killing_of_George_Robinson,2,12916,13139,1.02,Killing_of_George_Robinson | George_Robinson_(police_brutality_victim)
Killing_of_Gidone_Busch,5,2715,43147,15.89,Killing_of_Gidone_Busch | Gidone_busch | Gary_Busch | Gidone_Busch | Shooting_of_Gidone_Busch
Killing_of_Jamar_Clark,3,32548,406156,12.48,Killing_of_Jamar_Clark | Jamar_Clark | Shooting_of_Jamar_Clark
Killing_of_James_Boyd,4,10484,193839,18.49,Killing_of_James_Boyd | James_Boyd_shooting | Draft:APD_and_James_Boyd | Shooting_of_James_Boyd
Killing_of_James_Scurlock,3,33661,206122,6.12,Killing_of_James_Scurlock | Shooting_of_James_Scurlock | James_Scurlock_(shooting_victim)
Killing_of_Javier_Ambler,4,223207,224171,1.0,Killing_of_Javier_Ambler | Death_of_Javier_Ambler | Javier_Ambler | Javier_Ambler_II
Killing_of_Jayland_Walker,4,289931,293415,1.01,Killing_of_Jayland_Walker | Jayland_Walker | Death_of_jayland_walker | Shooting_of_Jayland_Walker
Killing_of_Jeremy_McDole,4,8197,201810,24.62,Killing_of_Jeremy_McDole | Jeremy_McDole | Death_of_Jeremy_McDole | Shooting_of_Jeremy_McDole
Killing_of_John_Albers,1,1546,1546,1.0,Killing_of_John_Albers
Killing_of_John_Crawford_III,5,88572,1298082,14.66,Killing_of_John_Crawford_III | John_crawford_III | John_Crawford_III | Shooting_of_John_Crawford | Shooting_of_John_Crawford_III
Killing_of_Jonathan_Ferrell,4,13206,319177,24.17,Killing_of_Jonathan_Ferrell | Jonathan_Ferrell | Jonathan_Farrell | Shooting_of_Jonathan_Ferrell
