article,title,days,views,first,last,created
Killing_of_Rayshard_Brooks,Shooting_of_Rayshard_Brooks,497,677,2020-06-16,2024-12-24,2020-06-16
Killing_of_Rayshard_Brooks,Rashard_Brooks,268,252,2020-06-28,2024-12-31,2020-06-28
Killing_of_Ricky_Cobb_II,Killing_of_Ricky_Cobb_II,326,16142,2023-08-03,2024-12-31,2024-02-03
Killing_of_Ricky_Cobb_II,Death_of_Ricky_Cobb_II,152,235,2024-02-03,2024-12-30,2024-02-05
Killing_of_Ronald_Greene,Killing_of_Ronald_Greene,856,24713,2021-05-20,2024-12-31,2021-05-20
Killing_of_Ronald_Greene,Ronald_Greene,856,1490,2021-04-01,2024-12-31,2021-04-01
Killing_of_Ronald_Greene,Murder_of_Ronald_Greene,69,36,2021-05-20,2024-12-31,2021-05-20
Killing_of_Ronald_Greene,Death_of_Ronald_Greene,1285,84834,2021-05-20,2024-12-31,2022-12-18
Killing_of_Samuel_DuBose,Killing_of_Samuel_DuBose,878,39356,2020-12-31,2024-12-31,2015-07-29
Killing_of_Samuel_DuBose,Samuel_DuBose,3000,24942,2015-07-29,2024-12-31,2015-07-29
Killing_of_Samuel_DuBose,Death_of_Samuel_DuBose,2315,9188,2015-07-29,2024-12-31,2015-07-30
Killing_of_Samuel_DuBose,Samuel_Vincent_DuBose,996,527,2015-08-01,2024-12-31,2015-08-01
Killing_of_Samuel_DuBose,Sam_Dubose,1049,2144,2015-08-01,2024-12-29,2015-08-01
Killing_of_Samuel_DuBose,Sam_DuBose,2155,4484,2015-08-01,2024-12-16,2015-08-01
Killing_of_Samuel_DuBose,Shooting_of_Samuel_DuBose,3443,532789,2015-07-30,2024-12-31,2022-09-19
Killing_of_Sayed_Faisal,Shooting_of_Sayed_Faisal,380,1381,2023-11-25,2024-12-31,2025-08-26
Killing_of_Sean_Bell,Killing_of_Sean_Bell,407,48457,2023-11-21,2024-12-31,2006-11-27
Killing_of_Sean_Bell,Nicole_Paultre_Bell,490,94,2015-07-05,2024-12-27,2007-03-19
Killing_of_Sean_Bell,Nicole_Paultre-Bell,1274,644,2015-07-06,2024-12-28,2008-03-14
Killing_of_Sean_Bell,Sean_Bell_Shooting_Incident,3022,24061,2015-07-01,2024-12-31,2008-04-27
Killing_of_Sean_Bell,Sean_Bell_case,605,86,2015-07-06,2024-12-22,2008-05-20
Killing_of_Sean_Bell,Sean_Bell_shooting,2442,3126,2015-07-01,2024-12-31,2008-05-26
Killing_of_Sean_Bell,Sean_Bell_shooting_incident,3472,553889,2015-07-01,2024-12-31,2018-12-20
Killing_of_Sean_Bell,Shooting_of_Sean_Bell,2204,662474,2018-12-20,2024-12-31,2023-11-21
Killing_of_Sean_Monterrosa,Killing_of_Sean_Monterrosa,1114,1784,2020-06-05,2024-12-31,2020-06-05
Killing_of_Sean_Monterrosa,Sean_Monterrosa,1634,19511,2020-06-05,2024-12-31,2020-06-05
Killing_of_Sean_Monterrosa,Shooting_of_Sean_Monterrosa,1671,108435,2020-06-05,2024-12-31,2024-11-29
Killing_of_Tamir_Rice,Killing_of_Tamir_Rice,1812,882779,2015-07-09,2024-12-31,2014-11-24
Killing_of_Tamir_Rice,Tamir_Rice,3472,113483,2015-07-01,2024-12-31,2014-11-24
Killing_of_Tamir_Rice,Tamir_E._Rice,1854,6870,2015-07-01,2024-12-28,2014-11-25
Killing_of_Tamir_Rice,Shooting_of_Tamir_Rice,3472,4370418,2015-07-01,2024-12-31,2021-05-08
Killing_of_Terence_Crutcher,Killing_of_Terence_Crutcher,502,16526,2023-08-18,2024-12-31,2016-09-19
Killing_of_Terence_Crutcher,Terence_Crutcher,2814,16333,2016-09-20,2024-12-30,2016-09-20
Killing_of_Terence_Crutcher,Terence_crutcher,792,1566,2016-09-20,2024-12-11,2016-09-20
Killing_of_Terence_Crutcher,Terrence_Crutcher,790,1706,2016-09-20,2024-12-24,2016-09-20
Killing_of_Terence_Crutcher,Crutcher_shooting,241,75,2016-09-23,2024-12-31,2016-09-23
Killing_of_Terence_Crutcher,Shooting_of_Terence_Crutcher,3026,588657,2016-09-19,2024-12-31,2023-08-18
Killing_of_Tony_McDade,Killing_of_Tony_McDade,1029,21981,2022-03-09,2024-12-31,2020-05-28
Killing_of_Tony_McDade,Draft:Shooting_of_Tony_McDade,72,58,2020-05-28,2024-11-20,2020-05-28
Killing_of_Tony_McDade,Tony_McDade,1406,11235,2020-05-28,2024-12-31,2020-05-28
Killing_of_Tony_McDade,Natosha_McDade,176,54,2020-05-28,2024-12-27,2020-05-28
Killing_of_Tony_McDade,Shooting_of_Tony_McDade,1679,176914,2020-05-28,2024-12-31,2022-03-09
Killing_of_Tony_Robinson,Killing_of_Tony_Robinson,835,11708,2022-09-19,2024-12-31,2015-03-09
Killing_of_Tony_Robinson,Tony_Robinson_(shooting_victim),641,519,2020-09-04,2024-12-31,2020-09-04
Killing_of_Tony_Robinson,Tony_Terrell_Robinson_Jr.,88,23,2021-03-17,2024-12-27,2021-03-17
Killing_of_Tony_Robinson,Shooting_of_Tony_Robinson,3471,130272,2015-07-01,2024-12-31,2022-09-19
Killing_of_Tony_Timpa,Killing_of_Tony_Timpa,1298,272105,2021-06-13,2024-12-31,2021-06-13
Killing_of_Tony_Timpa,Tony_Timpa,1245,6377,2020-06-21,2024-12-26,2020-06-21
Killing_of_Tony_Timpa,Murder_of_Tony_Timpa,237,229,2021-06-05,2024-12-31,2021-06-05
Killing_of_Walter_Wallace,Killing_of_Walter_Wallace,1527,157237,2020-10-27,2024-12-31,2020-10-27
Killing_of_Walter_Wallace,Walter_Wallace_Jr.,131,116,2020-10-28,2024-12-11,2020-10-28
Killing_of_Walter_Wallace,Walter_wallace_jr,787,1030,2020-10-28,2024-12-16,2020-10-28
Killing_of_Walter_Wallace,Walter_Wallace_Jr,281,41,2020-10-29,2024-12-31,2020-10-29
Killing_of_Willie_McCoy,Killing_of_Willie_McCoy,497,7992,2020-12-31,2024-12-31,2019-02-14
Killing_of_Willie_McCoy,Willie_McCoy,1185,1082,2018-07-21,2024-12-31,2018-07-21
Killing_of_Willie_McCoy,Willie_McCoy_(rapper),932,2144,2019-02-14,2024-12-29,2019-02-21
Killing_of_Willie_McCoy,Death_of_Willie_McCoy,145,28,2019-02-24,2024-12-26,2019-02-24
Killing_of_Willie_McCoy,Shooting_of_Willie_McCoy,2141,163855,2019-02-21,2024-12-31,2023-11-12
Killing_of_Winston_Boogie_Smith,Killing_of_Winston_Boogie_Smith,1306,74418,2021-06-05,2024-12-31,2021-06-05
Killing_of_Winston_Boogie_Smith,Winston_Boogie_Smith,1305,16655,2021-06-04,2024-12-31,2021-06-04
Killing_of_Zachary_Hammond,Killing_of_Zachary_Hammond,1475,28073,2020-12-18,2024-12-31,2015-08-08
Killing_of_Zachary_Hammond,Zachary_Hammond,1601,2037,2015-08-08,2024-12-31,2015-08-08
Killing_of_Zachary_Hammond,Shooting_of_Zachary_Hammond,3105,111430,2015-08-08,2024-12-31,2020-12-18
Laquan_McDonald,Laquan_McDonald,3320,37163,2015-11-16,2024-12-31,2015-11-16
Ma'Khia_Bryant,Ma'Khia_Bryant,873,1400,2021-04-22,2024-12-31,2021-04-22
Micah_Xavier_Johnson,Micah_Xavier_Johnson,3099,42036,2016-07-08,2024-12-31,2016-07-08
Mohamed_Barry,Mohamed_Barry,1008,932,2016-05-30,2024-12-31,2016-05-30
Monroe_Isadore,Monroe_Isadore,1104,486,2015-07-03,2024-12-28,2013-09-08
Murder_of_Ahmaud_Arbery,Murder_of_Ahmaud_Arbery,1486,2074504,2020-05-07,2024-12-31,2020-05-04
Murder_of_Ahmaud_Arbery,Draft:Killing_of_Ahmaud_Arbery,60,21,2020-07-20,2024-12-30,2020-05-05
Murder_of_Ahmaud_Arbery,Ahmaud_Arbery,1703,98669,2020-05-04,2024-12-31,2020-05-06
Murder_of_Ahmaud_Arbery,Death_of_Ahmaud_Arbery,487,2662,2020-05-07,2024-12-30,2020-05-07
Murder_of_Ahmaud_Arbery,Lynching_of_Ahmaud_Arbery,414,3045,2020-05-07,2024-12-31,2020-05-07
Murder_of_Ahmaud_Arbery,Shooting_of_Ahmaud,144,132,2020-05-07,2024-12-16,2020-05-07
Murder_of_Ahmaud_Arbery,Ahmaud_arbery,1558,24937,2020-05-07,2024-12-30,2020-05-07
Murder_of_Ahmaud_Arbery,Ahmad_Arbery,1114,31582,2020-05-07,2024-12-31,2020-05-07
Murder_of_Ahmaud_Arbery,Arbery,929,3468,2020-05-07,2024-12-31,2020-05-07
Murder_of_Ahmaud_Arbery,Ahmaud,682,8265,2020-05-07,2024-12-20,2020-05-07
Murder_of_Ahmaud_Arbery,Ahmaud_Arbrery,183,104,2020-05-11,2024-12-17,2020-05-11
Murder_of_Ahmaud_Arbery,Shooting_of_Ahmaud_Arbery,1701,1161277,2020-05-06,2024-12-31,2020-05-12
Murder_of_Ahmaud_Arbery,Shooting_of_Ahmaud_Aubrey,578,6212,2020-05-18,2024-12-24,2020-05-18
Murder_of_Ahmaud_Arbery,Ahmaud_Aubrey,709,2526,2020-05-18,2024-12-16,2020-05-18
Murder_of_Ahmaud_Arbery,Shooting_of_Ahmed_Arbery,99,28,2020-06-09,2024-12-11,2020-06-09
Murder_of_Ahmaud_Arbery,Shooting_of_Ahmad_Arbery,189,159,2020-06-09,2024-12-09,2020-06-09
Murder_of_Ahmaud_Arbery,Ahmaud_Marquez_Arbery,550,104,2021-03-16,2024-12-31,2021-03-16
Murder_of_Ahmaud_Arbery,Killing_of_Ahmaud_Arbery,1692,2151532,2020-05-12,2024-12-31,2021-11-24
Murder_of_Ahmaud_Arbery,Trial_for_the_killing_of_Ahmaud_Arbery,67,25,2021-11-25,2024-12-27,2021-11-25
Murder_of_Ahmaud_Arbery,Ahmaud_Arbery_Day,51,16,2022-02-27,2024-12-19,2022-02-27
Murder_of_Andre_Hill,Murder_of_Andre_Hill,58,7388,2024-11-04,2024-12-31,2020-12-29
Murder_of_Andre_Hill,Draft:Killing_of_Andre_Hill,56,10,2020-12-29,2024-11-05,2020-12-29
Murder_of_Andre_Hill,Andre_Hill,1011,3551,2020-12-29,2024-12-31,2020-12-29
Murder_of_Andre_Hill,Killing_of_Andre_Hill,1464,104288,2020-12-29,2024-12-31,2024-11-04
Murder_of_George_Floyd,Murder_of_George_Floyd,1680,3889226,2020-05-26,2024-12-31,2020-05-26
Murder_of_George_Floyd,George_Floyd_killing,665,786,2020-05-28,2024-12-30,2020-05-28
Murder_of_George_Floyd,George_Floyd_death,567,1010,2020-05-28,2024-12-22,2020-05-28
Murder_of_George_Floyd,Reaction_to_the_killing_of_George_Floyd,138,30,2020-05-28,2024-12-11,2020-05-28
Murder_of_George_Floyd,Strangulation_of_George_Floyd,162,84,2020-05-28,2024-12-31,2020-05-28
Murder_of_George_Floyd,Suffocation_of_George_Floyd,321,136,2020-05-28,2024-12-31,2020-05-28
Murder_of_George_Floyd,The_Killing_of_George_Floyd,310,563,2020-06-02,2024-12-25,2020-06-02
Murder_of_George_Floyd,Floyd_killing,272,118,2020-06-02,2024-12-31,2020-06-02
Murder_of_George_Floyd,Death_of_George_Floyd,1681,7594863,2020-05-26,2024-12-31,2020-06-02
Murder_of_George_Floyd,The_Death_of_George_Floyd,393,1219,2020-06-04,2024-12-30,2020-06-04
Murder_of_George_Floyd,George_Floyd's_death,397,333,2020-06-07,2024-12-25,2020-06-07
Murder_of_George_Floyd,Killing_of_george_floyd,1070,1756,2020-10-21,2024-12-26,2020-10-21
Murder_of_George_Floyd,Police_killing_of_George_Floyd,609,11885,2020-11-01,2024-12-30,2020-11-01
Murder_of_George_Floyd,Killing_of_George_Floyd,1681,7135152,2020-05-26,2024-12-31,2021-04-20
Murder_of_George_Floyd,Manslaughter_of_George_Floyd,82,29,2021-04-20,2024-12-13,2021-04-20
Murder_of_George_Floyd,Police_murder_of_George_Floyd,828,1137,2021-04-21,2024-12-29,2021-04-21
Murder_of_George_Floyd,George_Floyd_murder,466,367,2021-04-21,2024-12-23,2021-04-21
Murder_of_George_Floyd,Homicide_of_George_Floyd,83,26,2021-04-22,2024-12-13,2021-04-22
Murder_of_George_Floyd,George_Floyd_Killing,79,76,2021-09-27,2024-12-25,2021-09-27
Murder_of_George_Floyd,Assassination_of_George_Floyd,138,76,2022-02-22,2024-12-30,2022-02-22
Murder_of_George_Floyd,Killing_Of_George_Floyd,407,669,2022-03-08,2024-12-30,2022-03-08
Murder_of_George_Floyd,George_Floyd_shooting,31,16,2022-09-01,2024-12-25,2022-09-01
Murder_of_James_Craig_Anderson,Murder_of_James_Craig_Anderson,3472,368733,2015-07-01,2024-12-31,2011-08-22
Murder_of_James_Craig_Anderson,James_Craig_Anderson,3177,8624,2015-07-01,2024-12-31,2011-09-10
Murder_of_James_Craig_Anderson,Death_of_James_Craig_Anderson,1083,422,2015-07-02,2024-12-29,2012-03-21
Murder_of_Jared_Lakey,Murder_of_Jared_Lakey,1149,25035,2021-11-09,2024-12-31,2021-11-09
Murder_of_Jared_Lakey,Jared_Lakey,133,38,2021-11-09,2024-12-27,2021-11-09
Murder_of_Laquan_McDonald,Murder_of_Laquan_McDonald,2276,1197079,2018-10-09,2024-12-31,2015-11-25
Murder_of_Laquan_McDonald,Laquan_McDonald,3320,37163,2015-11-16,2024-12-31,2015-11-16
Murder_of_Laquan_McDonald,The_shooting_of_Laquan_McDonald,811,190,2016-10-14,2024-12-26,2016-10-14
Murder_of_Laquan_McDonald,Shooting_of_Laquan_McDonald,3324,1068997,2015-11-25,2024-12-31,2018-10-09
Murder_of_Renisha_McBride,Murder_of_Renisha_McBride,1894,190663,2019-10-26,2024-12-31,2013-11-15
Murder_of_Renisha_McBride,The_Renisha_McBride_Shooting,433,45,2015-07-02,2024-12-27,2013-11-15
Murder_of_Renisha_McBride,Renisha_McBride_Shooting,730,637,2015-07-02,2024-12-31,2013-11-16
Murder_of_Renisha_McBride,Renisha_McBride,2263,2790,2015-07-04,2024-12-31,2014-06-18
Murder_of_Renisha_McBride,Death_of_Renisha_McBride,462,80,2015-07-04,2024-12-04,2014-08-15
Murder_of_Renisha_McBride,Shooting_of_Renisha_McBride,3281,225537,2015-07-01,2024-12-31,2019-10-26
Nengmy_Vang,Nengmy_Vang,203,146,2023-09-17,2024-12-31,2023-09-17
Patrick_Lyoya,Patrick_Lyoya,929,4710,2022-04-13,2024-12-31,2022-04-13
Ronald_Greene,Ronald_Greene,856,1490,2021-04-01,2024-12-31,2021-04-01
Savannah_Graziano,Savannah_Graziano,60,19,2024-04-15,2024-12-21,2024-04-15
Shooting_of_Charles_Kinsey,Shooting_of_Charles_Kinsey,3086,955156,2016-07-21,2024-12-31,2016-07-21
Shooting_of_Charles_Kinsey,Non-fatal_shooting_of_Charles_Kinsey,125,24,2020-06-21,2024-12-27,2020-06-21
Shooting_of_Daniel_Shaver,Shooting_of_Daniel_Shaver,2579,3750114,2017-12-09,2024-12-31,2016-04-25
Shooting_of_Daniel_Shaver,Daniel_Shaver,2537,16285,2016-03-31,2024-12-31,2016-03-31
Shooting_of_Daniel_Shaver,Killing_of_Daniel_Shaver,1581,10184,2016-04-25,2024-12-19,2016-07-26
Shooting_of_Daniel_Shaver,Death_of_Daniel_Shaver,2904,744164,2016-04-26,2024-12-31,2017-12-22
Shooting_of_Daniel_Shaver,Draft:The_killing_of_Daniel_Shaver,30,34,2022-08-14,2024-12-22,2022-08-14
Shooting_of_Jacob_Blake,Shooting_of_Jacob_Blake,1591,4266488,2020-08-24,2024-12-31,2020-08-24
Shooting_of_Jacob_Blake,Jacob_Blake,1591,56714,2020-08-24,2024-12-31,2020-08-24
Shooting_of_Jacob_Blake,Jake_Blake,282,275,2020-08-25,2024-12-31,2020-08-25
Shooting_of_Jacob_Blake,Jacob_S._Blake,142,184,2020-08-25,2024-12-10,2020-08-25
Tyre_Nichols,Tyre_Nichols,710,60138,2023-01-22,2024-12-31,2023-01-22
