date,component,value
2015-07-15,trends_us,14.758264447126514
2015-07-16,trends_us,15.954880483380016
2015-07-17,trends_us,13.561648410873014
2015-07-18,trends_us,11.56728835045051
2015-07-19,trends_us,9.97180030211251
2015-07-20,trends_us,9.57292829002801
2015-07-21,trends_us,11.168416338366011
2015-07-22,trends_us,19.14585658005602
2015-07-23,trends_us,25.527808773408026
2015-07-24,trends_us,23.533448712985525
2015-07-25,trends_us,18.34811255588702
2015-07-26,trends_us,16.353752495464516
2015-07-27,trends_us,14.359392435042015
2015-07-28,trends_us,13.561648410873014
2015-07-29,trends_us,45.471409377633044
2015-07-30,trends_us,57.83644175225256
2015-07-31,trends_us,29.91540090633753
2015-08-01,trends_us,19.94360060422502
2015-08-02,trends_us,23.932320725070024
2015-08-03,trends_us,21.14021664047852
2015-08-04,trends_us,17.949240543802517
2015-08-05,trends_us,14.758264447126514
2015-08-06,trends_us,20.34247261630952
2015-08-07,trends_us,14.758264447126514
2015-08-08,trends_us,17.949240543802517
2015-08-09,trends_us,23.13457670090102
2015-08-10,trends_us,22.336832676732023
2015-08-11,trends_us,17.550368531718018
2015-08-12,trends_us,16.353752495464516
2015-08-13,trends_us,14.758264447126514
2015-08-14,trends_us,11.56728835045051
2015-08-15,trends_us,9.97180030211251
2015-08-16,trends_us,11.56728835045051
2015-08-17,trends_us,10.769544326281512
2015-08-18,trends_us,11.168416338366011
2015-08-19,trends_us,11.56728835045051
2015-08-20,trends_us,13.960520422957515
2015-08-21,trends_us,12.365032374619513
2015-08-22,trends_us,11.966160362535012
2015-08-23,trends_us,9.97180030211251
2015-08-24,trends_us,13.162776398788512
2015-08-25,trends_us,11.168416338366011
2015-08-26,trends_us,15.157136459211015
2015-08-27,trends_us,14.758264447126514
2015-08-28,trends_us,11.966160362535012
2015-08-29,trends_us,23.932320725070024
2015-08-30,trends_us,19.94360060422502
2015-08-31,trends_us,22.336832676732023
2015-09-01,trends_us,55.84208169183006
2015-09-02,trends_us,62.22403388518207
2015-09-03,trends_us,35.100737063436036
2015-09-04,trends_us,27.123296821746028
2015-09-05,trends_us,20.74134462839402
2015-09-06,trends_us,19.94360060422502
2015-09-07,trends_us,20.74134462839402
2015-09-08,trends_us,18.34811255588702
2015-09-09,trends_us,13.960520422957515
2015-09-10,trends_us,16.353752495464516
2015-09-11,trends_us,15.157136459211015
2015-09-12,trends_us,10.769544326281512
2015-09-13,trends_us,10.37067231419701
2015-09-14,trends_us,17.949240543802517
2015-09-15,trends_us,13.960520422957515
2015-09-16,trends_us,16.353752495464516
2015-09-17,trends_us,11.966160362535012
2015-09-18,trends_us,13.960520422957515
2015-09-19,trends_us,11.56728835045051
2015-09-20,trends_us,10.37067231419701
2015-09-21,trends_us,9.97180030211251
2015-09-22,trends_us,11.966160362535012
2015-09-23,trends_us,10.37067231419701
2015-09-24,trends_us,12.763904386704013
2015-09-25,trends_us,12.365032374619513
2015-09-26,trends_us,9.97180030211251
2015-09-27,trends_us,8.775184265859009
2015-09-28,trends_us,10.769544326281512
2015-09-29,trends_us,11.168416338366011
2015-09-30,trends_us,13.162776398788512
2015-10-01,trends_us,13.561648410873014
2015-10-02,trends_us,12.763904386704013
2015-10-03,trends_us,7.977440241690008
2015-10-04,trends_us,9.17405627794351
2015-10-05,trends_us,11.56728835045051
2015-10-06,trends_us,12.365032374619513
2015-10-07,trends_us,10.769544326281512
2015-10-08,trends_us,9.57292829002801
2015-10-09,trends_us,9.17405627794351
2015-10-10,trends_us,7.578568229605508
2015-10-11,trends_us,10.37067231419701
2015-10-12,trends_us,12.763904386704013
2015-10-13,trends_us,11.56728835045051
2015-10-14,trends_us,9.97180030211251
2015-10-15,trends_us,11.966160362535012
2015-10-16,trends_us,13.162776398788512
2015-10-17,trends_us,9.17405627794351
2015-10-18,trends_us,9.97180030211251
2015-10-19,trends_us,11.56728835045051
2015-10-20,trends_us,13.162776398788512
2015-10-21,trends_us,18.74698456797152
2015-10-22,trends_us,17.949240543802517
2015-10-23,trends_us,11.56728835045051
2015-10-24,trends_us,9.17405627794351
2015-10-25,trends_us,8.775184265859009
2015-10-26,trends_us,12.763904386704013
2015-10-27,trends_us,19.94360060422502
2015-10-28,trends_us,23.948900678670423
2015-10-29,trends_us,21.866387576177342
2015-10-30,trends_us,15.618848268698102
2015-10-31,trends_us,9.371308961218862
2015-11-01,trends_us,9.371308961218862
2015-11-02,trends_us,12.495078614958482
2015-11-03,trends_us,14.577591717451561
2015-11-04,trends_us,31.237696537396204
2015-11-05,trends_us,26.031413781163504
2015-11-06,trends_us,18.742617922437724
2015-11-07,trends_us,19.783874473684264
2015-11-08,trends_us,12.495078614958482
2015-11-09,trends_us,24.990157229916964
2015-11-10,trends_us,21.866387576177342
2015-11-11,trends_us,14.577591717451561
2015-11-12,trends_us,15.618848268698102
2015-11-13,trends_us,13.536335166205022
2015-11-14,trends_us,10.412565512465402
2015-11-15,trends_us,9.371308961218862
2015-11-16,trends_us,14.577591717451561
2015-11-17,trends_us,15.618848268698102
2015-11-18,trends_us,16.660104819944642
2015-11-19,trends_us,21.866387576177342
2015-11-20,trends_us,19.783874473684264
2015-11-21,trends_us,10.412565512465402
2015-11-22,trends_us,10.412565512465402
2015-11-23,trends_us,14.577591717451561
2015-11-24,trends_us,39.56774894736853
2015-11-25,trends_us,117.66199029085904
2015-11-26,trends_us,40.60900549861507
2015-11-27,trends_us,21.866387576177342
2015-11-28,trends_us,20.825131024930805
2015-11-29,trends_us,15.618848268698102
2015-11-30,trends_us,17.701361371191183
2015-12-01,trends_us,22.907644127423882
2015-12-02,trends_us,27.072670332410045
2015-12-03,trends_us,42.69151860110814
2015-12-04,trends_us,26.031413781163504
2015-12-05,trends_us,19.783874473684264
2015-12-06,trends_us,18.742617922437724
2015-12-07,trends_us,22.907644127423882
2015-12-08,trends_us,19.783874473684264
2015-12-09,trends_us,17.701361371191183
2015-12-10,trends_us,15.618848268698102
2015-12-11,trends_us,14.577591717451561
2015-12-12,trends_us,11.453822063711941
2015-12-13,trends_us,12.495078614958482
2015-12-14,trends_us,14.577591717451561
2015-12-15,trends_us,14.577591717451561
2015-12-16,trends_us,13.536335166205022
2015-12-17,trends_us,14.577591717451561
2015-12-18,trends_us,10.412565512465402
2015-12-19,trends_us,8.330052409972321
2015-12-20,trends_us,9.371308961218862
2015-12-21,trends_us,9.371308961218862
2015-12-22,trends_us,8.330052409972321
2015-12-23,trends_us,9.371308961218862
2015-12-24,trends_us,7.288795858725781
2015-12-25,trends_us,8.330052409972321
2015-12-26,trends_us,8.330052409972321
2015-12-27,trends_us,14.577591717451561
2015-12-28,trends_us,17.701361371191183
2015-12-29,trends_us,17.701361371191183
2015-12-30,trends_us,14.577591717451561
2015-12-31,trends_us,10.412565512465402
2016-01-01,trends_us,9.371308961218862
2016-01-02,trends_us,9.371308961218862
2016-01-03,trends_us,10.412565512465402
2016-01-04,trends_us,9.371308961218862
2016-01-05,trends_us,9.371308961218862
2016-01-06,trends_us,10.412565512465402
2016-01-07,trends_us,10.412565512465402
2016-01-08,trends_us,17.701361371191183
2016-01-09,trends_us,14.577591717451561
2016-01-10,trends_us,10.412565512465402
2016-01-11,trends_us,9.371308961218862
2016-01-12,trends_us,9.371308961218862
2016-01-13,trends_us,9.371308961218862
2016-01-14,trends_us,9.371308961218862
2016-01-15,trends_us,11.453822063711941
2016-01-16,trends_us,7.288795858725781
2016-01-17,trends_us,6.247539307479241
2016-01-18,trends_us,12.495078614958482
2016-01-19,trends_us,11.453822063711941
2016-01-20,trends_us,9.371308961218862
2016-01-21,trends_us,10.412565512465402
2016-01-22,trends_us,8.330052409972321
2016-01-23,trends_us,7.288795858725781
2016-01-24,trends_us,7.288795858725781
2016-01-25,trends_us,8.330052409972321
2016-01-26,trends_us,10.412565512465402
2016-01-27,trends_us,10.412565512465402
2016-01-28,trends_us,14.577591717451561
2016-01-29,trends_us,12.495078614958482
2016-01-30,trends_us,9.371308961218862
2016-01-31,trends_us,8.330052409972321
2016-02-01,trends_us,9.371308961218862
2016-02-02,trends_us,9.371308961218862
2016-02-03,trends_us,10.412565512465402
2016-02-04,trends_us,9.371308961218862
2016-02-05,trends_us,10.412565512465402
2016-02-06,trends_us,10.412565512465402
2016-02-07,trends_us,9.371308961218862
2016-02-08,trends_us,10.412565512465402
2016-02-09,trends_us,12.495078614958482
2016-02-10,trends_us,15.618848268698102
2016-02-11,trends_us,23.948900678670423
2016-02-12,trends_us,24.990157229916964
2016-02-13,trends_us,15.618848268698102
2016-02-14,trends_us,11.453822063711941
2016-02-15,trends_us,10.412565512465402
2016-02-16,trends_us,12.495078614958482
2016-02-17,trends_us,12.495078614958482
2016-02-18,trends_us,12.495078614958482
2016-02-19,trends_us,12.495078614958482
2016-02-20,trends_us,11.453822063711941
2016-02-21,trends_us,12.495078614958482
2016-02-22,trends_us,13.536335166205022
2016-02-23,trends_us,12.495078614958482
2016-02-24,trends_us,13.536335166205022
2016-02-25,trends_us,14.114452931654734
2016-02-26,trends_us,13.82343328357938
2016-02-27,trends_us,9.167118914373694
2016-02-28,trends_us,31.2846121681007
2016-02-29,trends_us,25.318709382555916
2016-03-01,trends_us,24.44565043832985
2016-03-02,trends_us,19.643826245086487
2016-03-03,trends_us,17.170159236445965
2016-03-04,trends_us,11.93180557108957
2016-03-05,trends_us,9.603648386486727
2016-03-06,trends_us,9.021609090336016
2016-03-07,trends_us,11.20425645090118
2016-03-08,trends_us,11.640785923014214
2016-03-09,trends_us,11.20425645090118
2016-03-10,trends_us,11.640785923014214
2016-03-11,trends_us,9.749158210524405
2016-03-12,trends_us,7.857530498034595
2016-03-13,trends_us,11.20425645090118
2016-03-14,trends_us,25.464219206593594
2016-03-15,trends_us,17.752198532596676
2016-03-16,trends_us,14.40547257973009
2016-03-17,trends_us,14.114452931654734
2016-03-18,trends_us,13.386903811466347
2016-03-19,trends_us,11.349766274938858
2016-03-20,trends_us,10.767726978788149
2016-03-21,trends_us,14.259962755692412
2016-03-22,trends_us,12.659354691277958
2016-03-23,trends_us,9.749158210524405
2016-03-24,trends_us,10.331197506675116
2016-03-25,trends_us,9.312628738411371
2016-03-26,trends_us,9.749158210524405
2016-03-27,trends_us,9.894668034562082
2016-03-28,trends_us,11.058746626863503
2016-03-29,trends_us,10.331197506675116
2016-03-30,trends_us,12.51384486724028
2016-03-31,trends_us,12.222825219164925
2016-04-01,trends_us,14.696492227805445
2016-04-02,trends_us,9.894668034562082
2016-04-03,trends_us,8.73058944226066
2016-04-04,trends_us,11.349766274938858
2016-04-05,trends_us,9.021609090336016
2016-04-06,trends_us,10.331197506675116
2016-04-07,trends_us,9.603648386486727
2016-04-08,trends_us,10.185687682637438
2016-04-09,trends_us,8.876099266298338
2016-04-10,trends_us,8.585079618222982
2016-04-11,trends_us,10.913236802825825
2016-04-12,trends_us,11.786295747051891
2016-04-13,trends_us,13.241393987428669
2016-04-14,trends_us,11.786295747051891
2016-04-15,trends_us,9.021609090336016
2016-04-16,trends_us,7.129981377846206
2016-04-17,trends_us,7.129981377846206
2016-04-18,trends_us,10.04017785859976
2016-04-19,trends_us,11.349766274938858
2016-04-20,trends_us,10.622217154750471
2016-04-21,trends_us,8.585079618222982
2016-04-22,trends_us,8.73058944226066
2016-04-23,trends_us,7.2754912018838835
2016-04-24,trends_us,8.294059970147627
2016-04-25,trends_us,9.458138562449049
2016-04-26,trends_us,10.913236802825825
2016-04-27,trends_us,10.331197506675116
2016-04-28,trends_us,11.20425645090118
2016-04-29,trends_us,9.312628738411371
2016-04-30,trends_us,7.2754912018838835
2016-05-01,trends_us,7.129981377846206
2016-05-02,trends_us,8.73058944226066
2016-05-03,trends_us,8.876099266298338
2016-05-04,trends_us,10.185687682637438
2016-05-05,trends_us,10.185687682637438
2016-05-06,trends_us,10.476707330712793
2016-05-07,trends_us,5.674883137469429
2016-05-08,trends_us,8.003040322072271
2016-05-09,trends_us,9.167118914373694
2016-05-10,trends_us,10.767726978788149
2016-05-11,trends_us,10.185687682637438
2016-05-12,trends_us,11.640785923014214
2016-05-13,trends_us,12.950374339353314
2016-05-14,trends_us,8.876099266298338
2016-05-15,trends_us,8.439569794185305
2016-05-16,trends_us,9.167118914373694
2016-05-17,trends_us,8.73058944226066
2016-05-18,trends_us,11.20425645090118
2016-05-19,trends_us,12.804864515315636
2016-05-20,trends_us,12.950374339353314
2016-05-21,trends_us,8.14855014610995
2016-05-22,trends_us,12.51384486724028
2016-05-23,trends_us,13.386903811466347
2016-05-24,trends_us,11.349766274938858
2016-05-25,trends_us,9.749158210524405
2016-05-26,trends_us,10.622217154750471
2016-05-27,trends_us,9.167118914373694
2016-05-28,trends_us,5.965902785544785
2016-05-29,trends_us,8.585079618222982
2016-05-30,trends_us,6.402432257657818
2016-05-31,trends_us,8.003040322072271
2016-06-01,trends_us,10.331197506675116
2016-06-02,trends_us,16.442610116257576
2016-06-03,trends_us,10.913236802825825
2016-06-04,trends_us,9.021609090336016
2016-06-05,trends_us,9.312628738411371
2016-06-06,trends_us,8.003040322072271
2016-06-07,trends_us,6.838961729770851
2016-06-08,trends_us,7.712020673996917
2016-06-09,trends_us,8.585079618222982
2016-06-10,trends_us,9.312628738411371
2016-06-11,trends_us,8.14855014610995
2016-06-12,trends_us,17.46117888452132
