source_id,description,url,accessed_utc,sha256,payload_sha256,output_file
S10,Mapping Police Violence dataset (police killings 2013+),https://mappingpoliceviolence.us/s/MPVDatasetDownload.xlsx,2026-07-13T09:27:14+00:00,,635d3264a1c614357064b83082e60f18bd5ac8570cb93a93b7e976f19cca28d2,data/reference/victim_registry.csv
S11,"CAI components gdelt_news/gdelt_tv/wiki_ext 2015-01-01..2024-12-31; query=(""police shooting"" OR ""police killing"" OR ""killed by police"" OR ""police brutality"")",api.gdeltproject.org/api/v2 + wikimedia.org/api/rest_v1,2026-09-10T21:12:04+00:00,dbb89a5aa3380194da98ac3a075131b91014e3a9c649646c317e5a81f11ecfcf,,data/reference/cai_components_daily.csv
S12,"Google Trends daily, basket ['/m/016497', 'police shooting', 'police killed'] summed on one payload scale, US + NYC DMA 501, stitched 180d/60d through-origin; realised trends_nyc=2015-01-01..2024-12-31 n=3653; trends_us=2015-01-01..2024-12-31 n=3653",https://trends.google.com (via pytrends),2026-09-10T09:21:01+00:00,f18c11eb209350bd115e9c0436065a0984ce6bb1506a90452e66c7df26dd16e6,,data/reference/cai_trends_daily.csv
S13,"Trends weekly-anchored daily (US, NYC) + victim-name terms in topic units",https://trends.google.com (via pytrends),2026-07-14T00:11:14+00:00,8e0483466b89992226737b6dc6c21d81887cef57d527857247bf44f203049344,,data/reference/cai_trends_anchored.csv
S14,"NYC EMS dispatch precinct x community district crosswalk (server-side aggregation, 2015-2024 incidents)",https://data.cityofnewyork.us/resource/76xm-jjuj.json,2026-09-10T23:54:12+00:00,4c519dc6e115d562ac0c72af520adbe7fab303ef7be279f122e763c98f782727,,data/reference/precinct_cd_crosswalk.csv
S15,B-HEARD precinct adoption schedule (NYC Mayor's Office of Community Mental Health announcements; operational counts validated against NYC IBO Jan 2026 precinct-level report),https://mentalhealth.cityofnewyork.us/b-heard,2026-09-10T23:54:12+00:00,b7627d01221e51599cb70a8856424e72891c15ddbaa20d206efbcd6ec319960a,,data/reference/bheard_precinct_adoption.csv
S1b,"EMS Incident Dispatch Data via SODA API (7 columns, paged), replaces user-local export",https://data.cityofnewyork.us/resource/76xm-jjuj.csv,2026-09-09T21:33:55+00:00,6247a7239559f930bb6e1706106ff2020054b126583571f3035f20afa08a95dc,,data/processed/ems_cd_day_calltype.parquet
S7,"NYC DCP ACS 2015-2019 demographic profile, NTA2020 level",https://s-media.nyc.gov/agencies/dcp/assets/files/excel/data-tools/census/acs/demo_2019_acs5yr_nta.xlsx,2026-07-12T14:58:52+00:00,,6716e586792dc42dab787649ced09ccfd32272473a9a2dca8875597545dd2652,data/reference/acs_2019_cd_demographics.csv
S8,"Wikimedia pageviews, top-150 victims, en.wikipedia 2017-2020",https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/,2026-07-12T15:24:44+00:00,33f6527152e59750665504f772cb7abe71d11230285f999e4b2fb9f87b5479ed,,data/reference/wikipedia_pageviews_victims.csv
