article,days,views,ok,reason,n_titles,n_titles_offered,n_titles_no_data,n_titles_failed
Killing_of_Richard_Lee_Richards,0,0,False,no series,0,1,1,0
Killing_of_Amir_Locke,1062,214264,True,,3,3,0,0
Killing_of_Patrick_Lyoya,994,243675,True,,5,5,0,0
Killing_of_Jayland_Walker,914,305322,True,,4,4,0,0
Killing_of_Donovan_Lewis,852,46712,True,,2,2,0,0
Killing_of_Savannah_Graziano,264,14375,True,,2,2,0,0
Death_of_Keenan_Anderson,719,185190,True,,3,3,0,0
Killing_of_Sayed_Faisal,380,1510,True,,1,1,0,0
Killing_of_Tyre_Nichols,711,2505216,True,,5,5,0,0
Killing_of_Ricky_Cobb_II,330,17339,True,,2,2,0,0
Killing_of_Eddie_Irizarry,481,35466,True,,4,4,0,0
Killing_of_Dhal_Apet_and_Lueth_Mo,471,5615,True,,1,1,0,0
Killing_of_Nyah_Mway,176,27373,True,,2,2,0,0
Killing_of_Kevin_Mullins,104,60990,True,,3,3,0,0
