component,year,n_days,n_distinct,nonzero_days,zero_share,max_value,quant_step,rel_step,in_cai_d
trends_nyc,2015,365,96,243,0.33424657534246577,126.0,0.36786318460562306,0.0029195490841716115,False
trends_nyc,2016,366,102,247,0.3251366120218579,780.9309230046795,0.2417085004829218,0.0003095132915891377,False
trends_nyc,2017,365,139,229,0.3726027397260274,38.954968340254304,0.12125570244592998,0.0031127146962825233,False
trends_nyc,2018,365,110,234,0.3589041095890411,41.7765474787577,0.13909669243416634,0.0033295401565888953,False
trends_nyc,2019,365,106,226,0.38082191780821917,52.39215860231327,0.15828358337658077,0.0030211311692279093,False
trends_nyc,2020,366,106,272,0.2568306010928962,251.58554743583215,0.68474154130047,0.0027217045982147127,False
trends_nyc,2021,365,70,174,0.5232876712328767,147.51675858397553,0.4841973049146251,0.003282320663512888,False
trends_nyc,2022,365,78,202,0.4465753424657534,105.30358638797176,0.26494466191390487,0.002516007963278333,False
trends_nyc,2023,365,87,162,0.5561643835616439,73.83474828456961,0.12196700766862989,0.001651891697369262,False
trends_nyc,2024,366,65,107,0.7076502732240437,41.20240486001214,0.21212862934328114,0.005148452622219553,False
trends_us,2015,365,104,365,0.0,122.0,0.33683267673202266,0.0027609235797706774,True
trends_us,2016,366,119,363,0.00819672131147541,899.0229580456586,0.14550982403767776,0.00016185329054776794,True
trends_us,2017,365,155,365,0.0,38.62569885253206,0.10187524116136393,0.002637498975754729,True
trends_us,2018,365,137,365,0.0,55.66185443498168,0.1130700262750679,0.002031373683518655,True
trends_us,2019,365,92,365,0.0,80.8735602904801,0.1800853362850514,0.002226751680502557,True
trends_us,2020,366,96,366,0.0,242.0801199290127,0.6883817351583801,0.002843611178647137,True
trends_us,2021,365,84,365,0.0,181.80362354340687,0.20809907604902733,0.001144636569905012,True
trends_us,2022,365,131,365,0.0,38.94970432836031,0.08229893796760868,0.002112954113176275,True
trends_us,2023,365,132,365,0.0,63.219338356655214,0.09169640807492385,0.0014504487148791997,True
trends_us,2024,366,124,366,0.0,39.8595825806792,0.06885363849314263,0.001727404905803441,True
