article,item,label,date,date_precision,country,manner
Killing_of_Timothy_Russell_and_Malissa_Williams,Q20273320,shooting of Timothy Russell and Malissa Williams,2012-11-29,day,United States,
Killing_of_Tony_McDade,Q95691974,shooting of Tony McDade,2020-05-27,day,United States,
Killing_of_Tony_Robinson,Q19630599,Shooting of Tony Robinson,2015-03-06,day,United States,
Killing_of_Tony_Timpa,Q107354797,Killing of Tony Timpa,2016-08-10,day,,
Killing_of_Trayvon_Martin,Q913747,shooting of Trayvon Martin,2012-02-26,day,United States,
Killing_of_Tyre_Nichols,Q116447988,killing of Tyre Nichols,2023-01-10,day,United States,
Killing_of_Vivian_Strong,Q62571409,Vivian Strong,1969-06-24,day,,
Killing_of_Walter_Scott,Q19776213,shooting of Walter Scott,2015-04-04,day,United States,
Killing_of_Walter_Wallace,Q100983478,Killing of Walter Wallace,,none,,
Killing_of_Willie_McCoy,Q138747514,Killing of Willie McCoy,,none,,
Killing_of_Winston_Boogie_Smith,Q107120179,killing of Winston Boogie Smith,2021-06-03,day,United States,
Killing_of_Zachary_Hammond,Q20767863,Shooting of Zachary Hammond,2015-07-26,day,United States,
Micah_Xavier_Johnson,Q25707181,Micah Xavier Johnson,2016-07-08,day,,
Murder_of_Ahmaud_Arbery,Q93439010,murder of Ahmaud Arbery,2020-02-23,day,United States,
Murder_of_Andre_Hill,Q104829693,Killing of Andre Hill,2020-12-22,day,United States,
Murder_of_Cara_Knott,Q5181317,murder of Cara Knott,1986-12-27,day,United States,
Murder_of_David_Dorn,Q96092538,Murder of David Dorn,,none,,
Murder_of_Garrett_Foster,Q117474648,Murder of Garrett Foster,,none,,
Murder_of_George_Floyd,Q95579249,murder of George Floyd,2020-05-25,day,United States,
Murder_of_James_Craig_Anderson,Q6937880,murder of James Craig Anderson,,none,United States,
Murder_of_Jared_Lakey,Q109539012,Murder of Jared Lakey,,none,,
Murder_of_Jessie_Davis,Q430867,Disappearance and murder of Jessie Davis,,none,,
Murder_of_Jordan_Davis,Q16211720,Murder of Jordan Davis,2012-11-23,day,United States,
Murder_of_Jordan_Edwards,Q30323849,Shooting of Jordan Edwards,2017-04-29,day,United States,
Murder_of_Laquan_McDonald,Q21596811,murder of Laquan McDonald,2014-10-20,day,United States,
Murder_of_Michelle_Busha,Q59600577,murder of Michelle Busha,1980-05-26,day,,
Murder_of_Renisha_McBride,Q15993501,shooting of Renisha McBride,2013-11-02,day,United States,
Murder_of_Santos_Rodriguez,Q63314258,Murder of Santos Rodriguez,1973-07-24,day,United States,
Murder_of_Sherri_Rasmussen,Q7608323,murder of Sherri Rasmussen,1986-02-24,day,United States,
Shooting_of_Charles_Kinsey,Q25973156,Shooting of Charles Kinsey,2016-07-18,day,United States,
Shooting_of_Daniel_Shaver,Q23926394,shooting of Daniel Shaver,2016-01-18,day,United States,
Shooting_of_Jacob_Blake,Q98605503,shooting of Jacob Blake,2020-08-23,day,United States,
Vanessa_Marquez,Q7914687,Vanessa Marquez,2018-08-30,day,,unnatural death
