metric,value
outcome,edp_share
episode_list,confirmation_episodes_rebuilt.csv
C1.mde_mc_bracket_hi.level,0.011730465015435438
C1.mde_mc_bracket_closed.level,1
C1.n_scan_sims_completed.level,200
C1.gate_log_ratio.level,-0.0734
C1.gate_ok.level,1
C1.mde_mc.dip_rebound,0.003819450834723877
C1.mde_mc_bracket_lo.dip_rebound,0.003763762185208236
C1.mde_mc_bracket_hi.dip_rebound,0.0038759634538561598
C1.mde_mc_bracket_closed.dip_rebound,1
C1.n_scan_sims_completed.dip_rebound,200
C1.gate_log_ratio.dip_rebound,-0.1028
C1.gate_ok.dip_rebound,1
C1.n_effective.level,14.125
C1.lambda_per_unit_spaced.level,103076.2873270032
C1.n_effective_saturating.level,14.125
C1.n_effective.dip_rebound,13.912
C1.lambda_per_unit_spaced.dip_rebound,903903.1916215
C1.n_effective_saturating.dip_rebound,13.912
C1.roth.trend_lambda_per_unit,6544576.33136545
C1.roth.lambda_target,15.02213842
C1.roth.bias_matched_slope_per_day,0.00151504
C1.roth.retired_lever_rule_slope_per_day,0.00256876
C1.roth.retired_lever_rule_optimism,1.69550414
C1.roth.bias_matched_slope_over_mde_level,0.13106557
C1.roth.bias_matched_slope_over_mde_dip_rebound,0.39666528
C1.roth.pretest_k,13.0
C1.roth.pretest_lambda_at_bias_matched_slope,49.18693607
C1.roth.pretest_power_at_bias_matched_slope,0.99956036
C1.ri_profile,none
C1.ri_status,NOT_DEFINED_DISJOINT_WINDOWS
C1.mde_ri,
C1.mde_ri_bracket_lo,
C1.mde_ri_bracket_hi,
C1.mde_ri_bracket_closed,0
C1.ri_sims,40
C1.ri_draws,60
C1.mde_best_profile,0.003819450834723877
C1.mde_worst_profile,0.011559431591216142
C1.mde_over_reference.minimum_of_interest,2.312
C1.mde_over_reference.planted_verification,1.156
C1.mde_over_reference.discovery_gate2,10.703
C1.POWER_VERDICT,UNDERPOWERED
C2.windows,2021-06-01..2024-12-31
C2.calendar_days,1310
C2.geometry.n_nominal,30
C2.geometry.min_gap_between_starts,10
C2.geometry.pairs_within_14d_steal_range,1
C2.geometry.pairs_within_full_window,10
C2.geometry.first_week_days_lost_predicted,2
C2.geometry.n_identifying,30
C2.geometry.first_week_depth,29.75
C2.geometry.pre_period_depth,25.6154
C2.geometry.window_rows_kept,0.877
C2.geometry.episodes_with_neighbour_28d,16
C2.geometry.episodes_window_straddles_bheard,0
C2.geometry.episodes_first_week_straddles_bheard,0
C2.placebo.accept_rate,1.0
C2.placebo.contaminated,0.351
C2.placebo.contaminated_p10,0.2667
C2.placebo.contaminated_p90,0.4667
C2.placebo.outside_windows,0.0
C2.placebo.sequence_span_days,1226.0
C2.placebo.free_days,53.0
C2.plant_equivalence_max_abs_diff,0.0
C2.unit_response_draw_invariance.level,4.440892098500626e-16
C2.first_week_attenuation_max_abs_dev.level,0.002866003226847491
C2.unit_response_draw_invariance.dip_rebound,8.881784197001252e-16
C2.first_week_attenuation_max_abs_dev.dip_rebound,0.002866003226847047
C2.n_null_sims_completed,200
C2.sigma_empirical_available,1
C2.sigma.mean_offdiag_corr,0.4883
C2.mde_analytic_saturating_overlap.level,0.008879085139826074
C2.mde_analytic_modelvcov.level,0.008879085139826074
C2.mde_analytic_empiricalvcov.level,0.008608693275328752
C2.lambda_per_unit.level,190544.01788461042
C2.vcov_inflation.level,0.9695
C2.mde_analytic_saturating_overlap.dip_rebound,0.0030310578032724865
C2.mde_analytic_modelvcov.dip_rebound,0.0030310578032724865
C2.mde_analytic_empiricalvcov.dip_rebound,0.0029890822589825534
C2.lambda_per_unit.dip_rebound,1635096.2490448682
C2.vcov_inflation.dip_rebound,0.9862
C2.mde_mc.level,0.008749625622799184
C2.mde_mc_bracket_lo.level,0.008622053661335158
C2.mde_mc_bracket_hi.level,0.008879085139826074
C2.mde_mc_bracket_closed.level,1
C2.n_scan_sims_completed.level,200
C2.gate_log_ratio.level,-0.0147
C2.gate_ok.level,1
C2.mde_mc.dip_rebound,0.0029004004925761205
C2.mde_mc_bracket_lo.dip_rebound,0.0028581118512307105
C2.mde_mc_bracket_hi.dip_rebound,0.002943314836931044
C2.mde_mc_bracket_closed.dip_rebound,1
C2.n_scan_sims_completed.dip_rebound,200
C2.gate_log_ratio.dip_rebound,-0.0441
C2.gate_ok.dip_rebound,1
C2.n_effective.level,30.316
C2.lambda_per_unit_spaced.level,188555.93235945195
C2.n_effective_saturating.level,30.316
C2.n_effective.dip_rebound,28.722
C2.lambda_per_unit_spaced.dip_rebound,1707823.1796830161
C2.n_effective_saturating.dip_rebound,28.722
C2.roth.trend_lambda_per_unit,12454673.42968538
C2.roth.lambda_target,15.02213842
C2.roth.bias_matched_slope_per_day,0.00109825
C2.roth.retired_lever_rule_slope_per_day,0.00194436
C2.roth.retired_lever_rule_optimism,1.77042384
C2.roth.bias_matched_slope_over_mde_level,0.12551922
C2.roth.bias_matched_slope_over_mde_dip_rebound,0.37865329
C2.roth.pretest_k,13.0
C2.roth.pretest_lambda_at_bias_matched_slope,46.22170356
C2.roth.pretest_power_at_bias_matched_slope,0.99912343
C2.ri_profile,level
C2.ri_status,BRACKETED
C2.mde_ri,0.008622053661335158
C2.mde_ri_bracket_lo,0.00849634173435185
C2.mde_ri_bracket_hi,0.008749625622799184
C2.mde_ri_bracket_closed,1
C2.ri_sims,40
C2.ri_draws,60
C2.mde_best_profile,0.0029004004925761205
C2.mde_worst_profile,0.008749625622799184
C2.mde_over_reference.minimum_of_interest,1.75
C2.mde_over_reference.planted_verification,0.875
C2.mde_over_reference.discovery_gate2,8.102
C2.POWER_VERDICT,UNDERPOWERED
n_null_sims_completed_min,200
n_scan_sims_completed_min,200
gate_breaches,none
POWER_VERDICT.discovery,UNDERPOWERED
POWER_VERDICT.C1,UNDERPOWERED
POWER_VERDICT.C2,UNDERPOWERED
VERDICT,COMPLETE
